Frage,Anzahl Trainingsfragen,Richtige Antwort,QAnswer-Antwort,Confidence,Precision,Recall,F-Score,Richtige Anzahl,QAnswer Anzahl,Schnittmenge
What are hospital information systems?,0,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT ?s0  WHERE { 		VALUES ?s0 { <http://www.snik.eu/ontology/bb/chapter4-2> }  },0.95,0,0.0,0,1,1, 0
What are hospital information systems?,10,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?s1 WHERE { 	 ?s1  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  <http://www.snik.eu/ontology/bb/InformationSystem> .  }  LIMIT 1000,0.51,0.25,1.0,0.4,1,4, 1
What are hospital information systems?,20,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?s1 WHERE { 	 ?s1  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  <http://www.snik.eu/ontology/bb/InformationSystem> .  }  LIMIT 1000,0.43,0.25,1.0,0.4,1,4, 1
What are hospital information systems?,30,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.39,0,0.0,0,1,3, 0
What are hospital information systems?,40,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?s1 WHERE { 	 ?s1  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  <http://www.snik.eu/ontology/bb/InformationSystem> .  }  LIMIT 1000,0.33,0.25,1.0,0.4,1,4, 1
What are hospital information systems?,50,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?s1 WHERE { 	 ?s1  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  <http://www.snik.eu/ontology/bb/InformationSystem> .  }  LIMIT 1000,0.38,0.25,1.0,0.4,1,4, 1
What are hospital information systems?,60,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?s1 WHERE { 	 ?s1  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  <http://www.snik.eu/ontology/bb/InformationSystem> .  }  LIMIT 1000,0.51,0.25,1.0,0.4,1,4, 1
What are hospital information systems?,70,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.47,0,0.0,0,1,3, 0
What are hospital information systems?,80,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?o1 WHERE { 	 <http://www.snik.eu/ontology/bb/HospitalInformationSystem>  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ?o1 .  }  LIMIT 1000,0.41,0,0.0,0,1,3, 0
What are hospital information systems?,90,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?s1 WHERE { 	 ?s1  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  <http://www.snik.eu/ontology/bb/Information> .  }  LIMIT 1000,0.4,0,0.0,0,1,5, 0
What are hospital information systems?,100,SELECT DISTINCT ?o1 WHERE { VALUES ?o1 { bb:HospitalInformationSystem } . },SELECT DISTINCT ?s1 WHERE { 	 ?s1  <http://www.w3.org/2000/01/rdf-schema#subClassOf>  <http://www.snik.eu/ontology/bb/InformationSystem> .  }  LIMIT 1000,0.3,0.25,1.0,0.4,1,4, 1
